var.x,var.y,estimate,lower,upper,se,p.value,n,message,model
shannon,sbp_m_all,-0.410053937347674,-1.24003140640627,0.419923531710926,0.423322224192563,0.33278203262648,3695,,BMI
shannon,sbp_m_all,-1.60162839040813,-2.47597110804926,-0.727285672767001,0.445950345437062,0.000333211755499346,3695,,multiple
shannon,dbp_m_all,-0.291895883865909,-0.867853224507162,0.284061456775344,0.293761640007934,0.320461191661763,3695,,BMI
shannon,dbp_m_all,-0.937134359512002,-1.53012649912867,-0.344142219895334,0.302450108141755,0.00196030297482296,3695,,multiple
shannon,syssd_all,-0.297396560865418,-0.616174943421738,0.0213818216909025,0.162589924376274,0.0674648637997685,3695,,BMI
shannon,syssd_all,-0.474049820999515,-0.79307337824889,-0.155026263750141,0.162714988856706,0.00359762237657883,3695,,multiple
shannon,diasd_all,-0.324746806049436,-0.592590060866636,-0.0569035512322353,0.136610940165398,0.0174986122080057,3695,,BMI
shannon,diasd_all,-0.487794900669629,-0.756367773137775,-0.219222028201484,0.136983087793444,0.000374280052728196,3695,,multiple
shannon,bbps,-0.110384037151001,-1.29269560296605,1.07192752866404,0.603026868688893,0.854769216238856,3694,,BMI
shannon,bbps,-1.38113173071808,-2.59487738107103,-0.167386080365135,0.619059585911702,0.0257419070612274,3694,,multiple
shannon,bbpd,-0.0541945160327478,-0.792552112595215,0.68416308052972,0.376592331752064,0.885581515631417,3694,,BMI
shannon,bbpd,-1.03571179529944,-1.80716080694365,-0.264262783655243,0.393470333394461,0.00851866726091526,3694,,multiple
