genera	positive_size.sbp	positive_estimate.sbp	positive_p.value.sbp	positive_q.value.sbp	positivie_message.sbp	negative_size.sbp	negative_estimate.sbp	negative_p.value.sbp	negative_q.value.sbp	negative_message.sbp	positive_size.dbp	positive_estimate.dbp	positive_p.value.dbp	positive_q.value.dbp	positivie_message.dbp	negative_size.dbp	negative_estimate.dbp	negative_p.value.dbp	negative_q.value.dbp	negative_message.dbp	positive_size.sbp_sd	positive_estimate.sbp_sd	positive_p.value.sbp_sd	positive_q.value.sbp_sd	positivie_message.sbp_sd	negative_size.sbp_sd	negative_estimate.sbp_sd	negative_p.value.sbp_sd	negative_q.value.sbp_sd	negative_message.sbp_sd	positive_size.dbp_sd	positive_estimate.dbp_sd	positive_p.value.dbp_sd	positive_q.value.dbp_sd	positivie_message.dbp_sd	negative_size.dbp_sd	negative_estimate.dbp_sd	negative_p.value.dbp_sd	negative_q.value.dbp_sd	negative_message.dbp_sd
Bifidobacterium	2	1.92368016708148	0.00382966666529808	0.331266166548284							2	1.88963065690808	0.00283036291304865	0.249071936348281							2	0.466598963368552	0.857142857142857	0.994514257672152							2	0.757260566742927	0.683316683316683	0.993745385049733						
Faecalibacterium	5	1.74463958056469	0.0196757407577124	0.850975787771061		4	1.3400000937226	0.174825174825175	0.978306541942906		7	1.24164051823451	0.230769230769231	0.999342537804076		2	1.47240839678453	0.167832167832168	0.999342537804076		7	0.982943511304796	0.516483516483517	0.994514257672152		2	0.453945072289944	0.857142857142857	0.994514257672152		7	0.792926257022988	0.725274725274725	0.993745385049733		2	0.339488110298409	0.922077922077922	0.993878073146366	
Streptococcus	3	1.64224690466542	0.0609390609390609	0.978306541942906							3	1.43706785922148	0.130869130869131	0.999342537804076							3	1.55393167073297	0.0899100899100899	0.818655029181345							3	1.78652284380283	0.0142732083163751	0.516709078681503						
Agathobaculum	1	1.87014930025247	0.0799200799200799	0.978306541942906		1	0.425091748969153	0.788211788211788	0.978306541942906		2	1.34993250876883	0.235764235764236	0.999342537804076							2	1.62026462958544	0.0819180819180819	0.806526806526806							2	1.13552502375364	0.434565434565435	0.941533713810941						
Pseudobutyricicoccus	1	1.83898014524826	0.0949050949050949	0.978306541942906							1	1.80922262263735	0.0729270729270729	0.846153846153846												1	0.294225818315557	0.854145854145854	0.994514257672152							1	1.36641888937473	0.331668331668332	0.941533713810941	
Terrisporobacter	1	1.82339556774616	0.0949050949050949	0.978306541942906							1	1.54445833639774	0.231768231768232	0.999342537804076							1	1.427822134157	0.296703296703297	0.994514257672152							1	1.54346599395891	0.256743256743257	0.941533713810941						
Fusicatenibacter	1	1.76105725773774	0.128871128871129	0.978306541942906							1	1.48562182834449	0.253746253746254	0.999342537804076							1	1.31126522524623	0.35964035964036	0.994514257672152							1	1.46048395127295	0.282717282717283	0.941533713810941						
HGM13006	1	1.74547268023564	0.136863136863137	0.978306541942906							1	1.47091270133118	0.261738261738262	0.999342537804076												1	0.147112909157779	0.931068931068931	0.994514257672152							1	0.0409925666812419	0.984015984015984	0.995943450488905	
Pseudoscilispira	1	1.71430352523143	0.152847152847153	0.978306541942906							1	1.63271309847761	0.172827172827173	0.999342537804076							1	1.23841715717699	0.390609390609391	0.994514257672152												1	0.0136641888937473	0.993006993006993	0.998988962844385	
Faecalibacillus	2	1.48936515944823	0.153846153846154	0.978306541942906							2	1.92054671938502	0.00094803053059884	0.166853373385396							2	1.37894418105726	0.205794205794206	0.994514257672152							2	0.658487449341675	0.728271728271728	0.993745385049733						
Eubacterium G	1	1.68313437022722	0.16983016983017	0.978306541942906		1	0.340073399175322	0.832167832167832	0.978306541942906		2	1.30839812162102	0.271728271728272	0.999342537804076							2	0.979060974749421	0.553446553446554	0.994514257672152							1	0.0497892256115777	0.955044955044955	0.993878073146366		1	0.546567555749891	0.733266733266733	0.993745385049733	
