"var.x"	"var.y"	"prev"	"estimate"	"lower"	"upper"	"se"	"p.value"	"n"	"message"	"q.value"
"Dorea_longicatena____HG3A.0039"	"diasd_all"	96.8250061530889	0.288514152776494	0.184833225154404	0.392195080398584	0.0528831868606633	5.17756795615901e-08	4063	NA	2.69552153286802e-05
"Ruminococcaceae_sp.____HG3A.0072"	"diasd_all"	84.888013782919	-0.276170547692087	-0.378596376146525	-0.17374471923765	0.0522430146965645	1.31592007654819e-07	4063	NA	5.23891004592833e-05
"Dorea_formicigenerans____HG3A.0006"	"diasd_all"	97.7602756583805	0.275409303208798	0.172418988131089	0.378399618286508	0.0525309350717333	1.66438223513153e-07	4063	NA	5.84459737691378e-05
"Collinsella_aerofaciens____HG3A.0019"	"diasd_all"	92.4440068914595	0.264993576340302	0.162052960604967	0.367934192075636	0.0525055855723612	4.69124221592017e-07	4063	NA	0.000108311166333137
"Blautia_sp._SG_772____HG3A.0063"	"diasd_all"	87.9891705636229	0.241286366285776	0.138702482279275	0.343870250292277	0.0523236320433208	4.12586249783921e-06	4063	NA	0.000558476747707515
"Coprococcus_comes____HG3A.0016"	"diasd_all"	95.3236524735417	0.232003438806284	0.128651850016244	0.335355027596323	0.0527152052714237	1.10563625070953e-05	4063	NA	0.00120692679754873
"Roseburia_inulinivorans____HG3A.0036"	"diasd_all"	96.1850849126261	0.22860412040696	0.125271698997105	0.331936541816815	0.0527054288142569	1.47784947325758e-05	4063	NA	0.00153878234384728
"Ruminococcus_torques____HG3A.0034"	"diasd_all"	93.1085404873246	0.224607593269804	0.122083930687896	0.327131255851712	0.0522929156818569	1.78749215307085e-05	4063	NA	0.00180425407477922
"Clostridia_sp.____HG3A.0756"	"diasd_all"	12.7738124538518	-0.222224565608435	-0.323734514407958	-0.120714616808912	0.0517758638324319	1.81278482690583e-05	4063	NA	0.00180425407477922
"Anaerobutyricum_hallii____HG3A.0012"	"diasd_all"	98.4248092542456	0.222095378632863	0.118838942583026	0.3253518146827	0.0526666719465796	2.53123273484525e-05	4063	NA	0.00248280915209169
"Blautia_obeum____HG3A.0001"	"diasd_all"	99.7538764459759	0.22031679288352	0.117334887978232	0.323298697788809	0.0525266454040976	2.79625325603325e-05	4063	NA	0.00261836788438761
"Clostridiales_sp.____HG3A.0242"	"diasd_all"	53.3349741570268	-0.216379622495267	-0.318463404035413	-0.114295840955122	0.0520685512605354	3.31211430836268e-05	4063	NA	0.00283751767582261
