"var.x"	"var.y"	"prev"	"estimate"	"lower"	"upper"	"se"	"p.value"	"n"	"estimate.infl"	"lower.infl"	"upper.infl"	"se.infl"	"p.value.infl"	"n.infl"	"message"	"q.value"	"q.value.infl"
"Agathobaculum_butyriciproducens____HG3A.0008"	"bbps"	98.4298863021115	1.38280100324483	0.893215622090517	1.87238638439914	0.249708432106577	3.28643871623265e-08	3694	1.33118027911532	0.840977745822468	1.82138281240816	0.250023181048025	1.07635309904186e-07	3693	NA	2.7277441344731e-06	5.95582048136494e-06
"Clostridiales_sp.____HG3A.0100"	"bbps"	72.6854358419058	-1.25254020102094	-1.75102337568881	-0.75405702635307	0.25424666824067	8.75235506375765e-07	3694	-1.29545256767412	-1.79308091614227	-0.797824219205972	0.253810648076259	3.49873056180913e-07	3693	NA	2.7723366947374e-05	1.33127109259308e-05
"Collinsella_aerofaciens____HG3A.0019"	"bbps"	92.365998917163	1.20909135824598	0.708526111836926	1.70965660465503	0.255308609405657	2.2666837759713e-06	3694	1.24470637781338	0.742684642265084	1.74672811336167	0.256051453740754	1.21726379363461e-06	3693	NA	5.37527866873194e-05	3.36776316238908e-05
"Oscillospiraceae_sp.____HG3A.0060"	"bbps"	87.3308067135896	-1.1466049642868	-1.6400787283156	-0.653131200257998	0.25169166532471	5.39831704252414e-06	3694	-1.21025778308967	-1.70288571322026	-0.717629852959078	0.251260231841301	1.51975980654726e-06	3693	NA	0.000109288912377514	3.60400182695493e-05
"Bifidobacterium_adolescentis____HG3A.0056"	"bbps"	92.5013535462913	1.14062150379403	0.647587560665765	1.63365544692229	0.25146733879923	5.92530247829897e-06	3694	1.08608771187111	0.592678990889139	1.57949643285309	0.251658466854665	1.63395320014083e-05	3693	NA	0.000109288912377514	0.000193740165159556
"Clostridium_sp._TM06_18____HG3A.0048"	"bbps"	96.6973470492691	1.09966351025291	0.596407921280064	1.60291909922576	0.256680793399084	1.88257007177033e-05	3694	1.01442149055848	0.503117740714663	1.52572524040229	0.260785657632177	0.000102125775734328	3693	NA	0.000223219022795624	0.000548818156786917
"Alistipes_sp._6CPBBH3____HG3A.0064"	"bbps"	83.3243096913914	-1.03367259510881	-1.52815313111994	-0.539192059097683	0.252205159932339	4.25006580492366e-05	3694	-1.0784899061194	-1.57218448430711	-0.584795327931697	0.251804265627719	1.892030567147e-05	3693	NA	0.000406021618342913	0.000207887154862424
"Streptococcus_parasanguinis____HG3A.0117"	"bbps"	92.3389279913373	1.10102431286826	0.567345597854674	1.63470302788184	0.272197823514446	5.34421205196146e-05	3694	0.999668298030797	0.458010169021821	1.54132642703977	0.276267622579668	0.000300445443859704	3693	NA	0.000460330367600366	0.00115985915536537
"Clostridiales_bacterium____HG3A.0168"	"bbps"	87.8992961559285	1.01228009739922	0.520554489759821	1.50400570503862	0.250800034553292	5.54614900723332e-05	3694	0.918693701241266	0.424114347316038	1.41327305516649	0.252255537152009	0.000274456086278439	3693	NA	0.000460330367600366	0.00108475500767193
"Odoribacter_splanchnicus____HG3A.0041"	"bbps"	92.7720628045479	-0.987413087999485	-1.48037342689626	-0.49445274910271	0.251429797651253	8.75659465857064e-05	3694	-1.03639171909472	-1.53288407703052	-0.539899361158927	0.253231246814027	4.3586356434852e-05	3693	NA	0.000640456841981009	0.000344539769913592
