"var.x"	"var.y"	"prev"	"estimate"	"lower"	"upper"	"se"	"p.value"	"n"	"message"	"q.value"
"Collinsella_aerofaciens____HG3A.0019"	"syssd_all"	92.4440068914595	0.345508036999051	0.222501312523258	0.468514761474843	0.0627404455647012	3.88363183812713e-08	4063	NA	2.62844202804444e-05
"Dorea_formicigenerans____HG3A.0006"	"syssd_all"	97.7602756583805	0.34126114046101	0.218151596610583	0.464370684311437	0.0627928893103966	5.82006549058413e-08	4063	NA	2.81358594573381e-05
"Dorea_longicatena____HG3A.0039"	"syssd_all"	96.8250061530889	0.34048611265682	0.216507054885953	0.464465170427687	0.0632363910053292	7.69436976718139e-08	4063	NA	3.47169963895224e-05
"Blautia_obeum____HG3A.0001"	"syssd_all"	99.7538764459759	0.329732795635736	0.206757182259172	0.4527084090123	0.0627245771295736	1.54311461543398e-07	4063	NA	5.80211095403175e-05
"Anaerobutyricum_hallii____HG3A.0012"	"syssd_all"	98.4248092542456	0.322924341003639	0.199598085403506	0.446250596603773	0.0629034246635951	2.97866383819701e-07	4063	NA	8.15667928812315e-05
"Blautia_sp._SG_772____HG3A.0063"	"syssd_all"	87.9891705636229	0.311623489857884	0.189023272865685	0.434223706850083	0.0625331035616139	6.51764207809733e-07	4063	NA	0.000126032575955893
"Ruminococcaceae_sp.____HG3A.0072"	"syssd_all"	84.888013782919	-0.303556371060659	-0.42608982183589	-0.181022920285427	0.0624990489827356	1.23812444937937e-06	4063	NA	0.000202730144615936
"Roseburia_inulinivorans____HG3A.0036"	"syssd_all"	96.1850849126261	0.301680156775038	0.178194089217178	0.425166224332899	0.0629849378774222	1.73145599539551e-06	4063	NA	0.000272523120391553
"Coprococcus_comes____HG3A.0016"	"syssd_all"	95.3236524735417	0.295746569017487	0.172214779440015	0.41927835859496	0.0630082587153257	2.77307474169145e-06	4063	NA	0.000421347202192674
"Clostridiales_sp.____HG3A.0140"	"syssd_all"	59.8818606940684	-0.290662379854402	-0.413264010888884	-0.16806074881992	0.0625338248038323	3.45975075682768e-06	4063	NA	0.000498204108983185
"Clostridiales_sp.____HG3A.0100"	"syssd_all"	72.163426039872	-0.281263216113974	-0.404307140960368	-0.15821929126758	0.06275941987555	7.61820301106767e-06	4063	NA	0.000904561368050982
