mgs_id	species	met_id	metabolite	class	subclass	rho	pval	n
hMGS.01559	Intestinimonas massiliensis	met_999911850	X - 11850	""	""	0.437931188661705	1.19264246890792e-244	5742
hMGS.01559	Intestinimonas massiliensis	met_999911843	X - 11843	""	""	0.421305215617385	1.08025396884372e-224	5742
hMGS.01559	Intestinimonas massiliensis	met_999912261	X - 12261	""	""	0.409828814040927	1.47082118541683e-211	5742
hMGS.01559	Intestinimonas massiliensis	met_999912013	X - 12013	""	""	0.404324352569404	1.93531807986535e-205	5742
hMGS.01559	Intestinimonas massiliensis	met_100001315	p-cresol sulfate	Xenobiotics	Benzoate Metabolism	0.38940879006452	1.98052554385855e-189	5742
hMGS.01559	Intestinimonas massiliensis	met_100006191	p-cresol glucuronide*	Amino Acid	Tyrosine Metabolism	0.342488841386109	3.25116954399175e-144	5742
hMGS.01559	Intestinimonas massiliensis	met_999912216	X - 12216	""	""	0.328551050780715	3.35109718802451e-132	5742
hMGS.01559	Intestinimonas massiliensis	met_100001417	phenylacetylglutamine	Peptide	Acetylated Peptides	0.313016860599385	1.5502880033073e-119	5742
hMGS.01559	Intestinimonas massiliensis	met_100000011	phenylacetate	Amino Acid	Phenylalanine Metabolism	0.305960349739476	4.98658504174567e-114	5742
hMGS.01559	Intestinimonas massiliensis	met_100002021	5alpha-androstan-3beta,17alpha-diol disulfate	Lipid	Androgenic Steroids	0.300489537102161	7.30845259960125e-110	5742
hMGS.01559	Intestinimonas massiliensis	met_999923997	X - 23997	""	""	0.299617156170325	3.31005500980405e-109	5742
hMGS.01559	Intestinimonas massiliensis	met_999922509	X - 22509	""	""	0.276126846578236	2.18992940737223e-92	5742
hMGS.01559	Intestinimonas massiliensis	met_100001148	5-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	0.275864776830886	3.30406508491331e-92	5742
hMGS.01559	Intestinimonas massiliensis	met_100009045	phenylacetylglutamate	Peptide	Acetylated Peptides	0.273078066370456	2.54820534726812e-90	5742
hMGS.01559	Intestinimonas massiliensis	met_999917354	X - 17354	""	""	0.271819697364389	1.78300700043118e-89	5742
hMGS.01559	Intestinimonas massiliensis	met_999912126	X - 12126	""	""	0.262935178782433	1.22735017777721e-83	5742
hMGS.01559	Intestinimonas massiliensis	met_100006108	phenylacetylcarnitine	Peptide	Acetylated Peptides	0.225797638883743	1.3538596114877e-61	5742
hMGS.01559	Intestinimonas massiliensis	met_999912851	X - 12851	""	""	0.217848509605172	2.33515516970799e-57	5742
hMGS.01559	Intestinimonas massiliensis	met_100002185	indole-3-carboxylate	Amino Acid	Tryptophan Metabolism	0.216669813066123	9.60303449214021e-57	5742
hMGS.01559	Intestinimonas massiliensis	met_100004601	1H-indole-7-acetic acid	Xenobiotics	Bacterial/Fungal	0.305252563835497	2.97799035897973e-53	2616
hMGS.01559	Intestinimonas massiliensis	met_999918935	X - 18935	""	""	0.303392750976821	1.34963207174846e-52	2616
hMGS.01559	Intestinimonas massiliensis	met_999921752	X - 21752	""	""	0.207864431471787	2.85376419586919e-52	5742
hMGS.01559	Intestinimonas massiliensis	met_1135	ursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	-0.206653383601627	1.13471911523989e-51	5742
hMGS.01559	Intestinimonas massiliensis	met_999913729	X - 13729	""	""	0.204855619269154	8.66579271810925e-51	5742
hMGS.01559	Intestinimonas massiliensis	met_999921286	X - 21286	""	""	0.198374406296859	1.12707045104895e-47	5742
hMGS.01559	Intestinimonas massiliensis	met_100020536	4-ethylcatechol sulfate	Xenobiotics	Benzoate Metabolism	0.193168351797616	2.99014175619186e-45	5742
hMGS.01559	Intestinimonas massiliensis	met_999923662	X - 23662	""	""	-0.189370831709681	1.58593904242433e-43	5742
